NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
What is the {history of a country or state} for {history of topic} of {Korea},19829,simple question right,175,Could you summarize Korea's history of this topic?, select distinct ?obj where { wd:Q18097 wdt:P2184 ?obj . ?obj wdt:P31 wd:Q17544377 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q18097> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2184> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q17544377> } , <S P ?O ; ?O instanceOf Type>,"In this topic, give a summary of Korea's history", select distinct ?obj where { [Korea] [history of topic] ?obj . ?obj [instance of] [history of a country or state] } ,"['[Korea] is region in East Asia', '[history of topic] is item about the historical development of a subject\'s topic, example: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793)', '[history of a country or state] is history of a particular country', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
"What is {landscape of} of {Virgin of the rocks}, that has {birth city} is {Tzippori} ?",13981,right-subgraph,9,"""Which is {landscape of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""",SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . ?answer wdt:P19 wd:Q1132798},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q269342> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P180>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1132798> . },E REF ?F . ?F RFG G,"""Which is {scene of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""",SELECT ?answer WHERE { [Virgin of the Rocks] [depicts] ?answer . ?answer [place of birth] [Tzippori]},"['[place of birth] is most specific known birth location of a person, animal or fictional character', '[Virgin of the Rocks] is subject of two paintings by Leonardo da Vinci', ""[depicts] is entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921,  'main subject'"", '[Tzippori] is city in Israel']"
Did {Kevin_Costner} {owner of} {Fielders Stadium}?,403,boolean one_hop right subgraph,403,Is Kevin Costner owner of Fielders Stadium?,ASK WHERE { wd:Q11930 wdt:P1830 wd:Q5447154 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11930> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1830> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q5447154>. } ,Ask (ent-pred-obj),Is the Fielders Stadium owned by Kevin Costner?,ASK WHERE { [Kevin Costner] [owner of] [Fielders Stadium] },"['[Fielders Stadium] is baseball park in Zion, Illinois, United States', '[owner of] is entities owned by the subject', '[Kevin Costner] is American actor']"
Give me {skill} that starts with {'s'},24611,string matching simple contains word,2614,What is a skill that starts with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q205961 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q205961>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,What could be a aptitude that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [skill] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[skill] is learned ability and competence to carry out an action']"
How many {from fictional universe} are for {Captain America} ?,1344,statement_property,344,How many dimensions have a Captain America?,SELECT (COUNT(?obj) AS ?value ) { wd:Q190679 wdt:P1080 ?obj },"SELECT (COUNT(?obj) AS ?objs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q190679> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1080> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
} 
",Count Obj (ent-pred-obj),Give me the dimensions of Captain America,SELECT (COUNT(?obj) AS ?value ) { [Captain America] [from narrative universe] ?obj },"[""[from narrative universe] is subject's fictional entity is in the object narrative. See also P1441 (present in work) and P1445 (fictional universe described in)"", '[Captain America] is fictional character in Marvel Comics']"
What is {award received} of {Danila Kozlovsky} that is {point in time} is {2017-0-0} ?,8396,statement_property,4841,What award did Danila Kozlovsky receive in 2017?,"SELECT ?obj WHERE { wd:Q3015088 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3015088> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2017-0-0>
} 
",(E pred F) prop ?value,What award did Danila Kozlovsky get in 2017?,"SELECT ?obj WHERE { [Danila Kozlovsky] [award received] ?s . ?s [award received] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2017')) }","['[award received] is award or recognition received by a person, organization or creative work', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[Danila Kozlovsky] is Russian actor, writer, producer,film director', '[award received] is award or recognition received by a person, organization or creative work']"
What is {students} of {coined} of {Euler–Lagrange equation} ?,17797,right-subgraph,892,Who is the student that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { wd:Q875744 wdt:P61 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q875744> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P61>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P802> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Who is the understudy that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { [Euler-Lagrange equation] [discoverer or inventor] ?X . ?X [student] ?answer},"['[Euler-Lagrange equation] is Second-order partial differential equation whose solutions are the functions for which a given functional is stationary', '[student] is notable student(s) of the subject individual', '[discoverer or inventor] is subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory']"
Does the {minimal lethal dose} of the {benzene} {equals} {170000},18444,boolean with filter,462,Is the minimal lethal dose of the benzene equal to 170000?,ASK WHERE { wd:Q2270 wdt:P2300 ?obj filter(?obj = 170000) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2270> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2300>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 170000) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the negligible deadly dosage of the benzene rise to to 170000?,ASK WHERE { [benzene] [minimal lethal dose] ?obj filter(?obj = 170000) } ,"['[minimal lethal dose] is lowest concentration of a toxic substance in an environmental medium that kills individual organisms or test species under a defined set of conditions', '[benzene] is hydrocarbon compound consisting of a 6-sided ring']"
What is the {human} for {student of} of {Ivan Pavlov},20145,simple question right,491,Who is the person that was a student of Ivan Pavlov?, select distinct ?obj where { wd:Q42985 wdt:P1066 ?obj . ?obj wdt:P31 wd:Q5 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q42985> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } , <S P ?O ; ?O instanceOf Type>,Who is the person Ivan Pavlov's student?, select distinct ?obj where { [Ivan Pavlov] [student of] ?obj . ?obj [instance of] [human] } ,"['[student of] is person who has taught this person', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[human] is any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult', '[Ivan Pavlov] is Russian physiologist (1849-1936)']"
Does the {clock speed} of the {Watara Supervision} {less than} {3.2},18264,boolean with filter,282,is the clock speed of the Watara Supervision smaller than 3.2?,ASK WHERE { wd:Q732683 wdt:P2149 ?obj filter(?obj < 3.2) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q732683> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2149>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 3.2) },ASK ?sbj ?pred ?obj filter ?obj = num,is the clock speed of the Watara Supervision littler than 3.2?,ASK WHERE { [Watara Supervision] [clock frequency] ?obj filter(?obj < 3.2) } ,"[""[clock frequency] is CPU's specified clock frequency (use with determination method = Q73207925 or Q73208059 as appropriate)"", '[Watara Supervision] is handheld game console']"
What is the {sovereign state} for {diplomatic relation} of {African Union},19896,simple question right,242,What country is the current leader of the African Union ?, select distinct ?obj where { wd:Q7159 wdt:P530 ?obj . ?obj wdt:P31 wd:Q3624078 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7159> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P530> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q3624078> } , <S P ?O ; ?O instanceOf Type>,What country leads the African Union?, select distinct ?obj where { [African Union] [diplomatic relation] ?obj . ?obj [instance of] [sovereign state] } ,"['[sovereign state] is state that has the highest authority over a territory', '[African Union] is supranational union in Africa', '[diplomatic relation] is diplomatic relations of the country', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {works for} of {accused} of {Mariposa Folk Festival 1974} ?,16037,left-subgraph,22,Who works for the accused Mariposa Folk Festival 1974?,SELECT ?answer WHERE { wd:Q54554872 wdt:P710 ?X . ?X wdt:P108 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q54554872> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P710>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P108> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,The accused Mariposa Folk Festival in 1974 employed whom?,SELECT ?answer WHERE { [Mariposa Folk Festival 1974] [participant] ?X . ?X [employer] ?answer},"['[participant] is person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams.', '[employer] is person or organization for which the subject works or worked', '[Mariposa Folk Festival 1974] is Mariposa Folk Festival held in the year 1974']"
What is the {neighborhood} for {shares border with} of {Los Angeles},22651,simple question right,3712,, select distinct ?obj where { wd:Q65 wdt:P47 ?obj . ?obj wdt:P31 wd:Q123705 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q65> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P47> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q123705> } , <S P ?O ; ?O instanceOf Type>,N / A N / A, select distinct ?obj where { [Los Angeles] [shares border with] ?obj . ?obj [instance of] [neighborhood] } ,"['[Los Angeles] is largest city in California, United States of America', '[neighborhood] is geographically localized community within a larger city, town or suburb', '[shares border with] is countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
