NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
What is {students} of {coined} of {Euler–Lagrange equation} ?,17797,right-subgraph,892,Who is the student that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { wd:Q875744 wdt:P61 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q875744> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P61>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P802> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Who is the understudy that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { Euler-Lagrange equation discoverer or inventor ?X . ?X student ?answer}
Does the {minimal lethal dose} of the {benzene} {equals} {170000},18444,boolean with filter,462,Is the minimal lethal dose of the benzene equal to 170000?,ASK WHERE { wd:Q2270 wdt:P2300 ?obj filter(?obj = 170000) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2270> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2300>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 170000) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the negligible deadly dosage of the benzene rise to to 170000?,ASK WHERE { benzene minimal lethal dose ?obj filter(?obj = 170000) } 
What is the {human} for {student of} of {Ivan Pavlov},20145,simple question right,491,Who is the person that was a student of Ivan Pavlov?, select distinct ?obj where { wd:Q42985 wdt:P1066 ?obj . ?obj wdt:P31 wd:Q5 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q42985> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } , <S P ?O ; ?O instanceOf Type>,Who is the person Ivan Pavlov's student?, select distinct ?obj where { Ivan Pavlov student of ?obj . ?obj instance of human } 
Does the {clock speed} of the {Watara Supervision} {less than} {3.2},18264,boolean with filter,282,is the clock speed of the Watara Supervision smaller than 3.2?,ASK WHERE { wd:Q732683 wdt:P2149 ?obj filter(?obj < 3.2) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q732683> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2149>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 3.2) },ASK ?sbj ?pred ?obj filter ?obj = num,is the clock speed of the Watara Supervision littler than 3.2?,ASK WHERE { Watara Supervision clock frequency ?obj filter(?obj < 3.2) } 
What is the {sovereign state} for {diplomatic relation} of {African Union},19896,simple question right,242,What country is the current leader of the African Union ?, select distinct ?obj where { wd:Q7159 wdt:P530 ?obj . ?obj wdt:P31 wd:Q3624078 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7159> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P530> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q3624078> } , <S P ?O ; ?O instanceOf Type>,What country leads the African Union?, select distinct ?obj where { African Union diplomatic relation ?obj . ?obj instance of sovereign state } 
What is {works for} of {accused} of {Mariposa Folk Festival 1974} ?,16037,left-subgraph,22,Who works for the accused Mariposa Folk Festival 1974?,SELECT ?answer WHERE { wd:Q54554872 wdt:P710 ?X . ?X wdt:P108 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q54554872> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P710>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P108> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,The accused Mariposa Folk Festival in 1974 employed whom?,SELECT ?answer WHERE { Mariposa Folk Festival 1974 participant ?X . ?X employer ?answer}
What is the {neighborhood} for {shares border with} of {Los Angeles},22651,simple question right,3712,n/a, select distinct ?obj where { wd:Q65 wdt:P47 ?obj . ?obj wdt:P31 wd:Q123705 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q65> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P47> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q123705> } , <S P ?O ; ?O instanceOf Type>,N / A N / A, select distinct ?obj where { Los Angeles shares border with ?obj . ?obj instance of neighborhood } 
What is {sister city} of {born in} of {Zakhar Oskotsky} ?,15426,left-subgraph,29905,What sister city was born in of Zakhar Oskotsky?,SELECT ?answer WHERE { wd:Q4338004 wdt:P19 ?X . ?X wdt:P190 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q4338004> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which sister city in Zakhar Oskotsky was born?,SELECT ?answer WHERE { Zakhar Oskotsky place of birth ?X . ?X twinned administrative body ?answer}
Give me {fantastique genre} that starts with {'s'},24275,string matching simple contains word,1045,Tell me the name of a fantastique genre that starts with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q20076756 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q20076756>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Let me know the title of a fantastique sort that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of speculative/fantastic fiction genre . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
"What is {musical score by} of {Missa Solemnis}, that has {has mother} is {Maria Magdalena van Beethoven} ?",12032,right-subgraph,178,What is the musical score by Missa Solemnis that has mother Maria Magdalena van Beethoven?,SELECT ?answer WHERE { wd:Q723790 wdt:P86 ?answer . ?answer wdt:P25 wd:Q14507972},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q723790> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P86>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P25> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q14507972> . },E REF ?F . ?F RFG G,What is the musical rating by means of Missa Solemnis that has mother Maria Magdalena van Beethoven?,SELECT ?answer WHERE { Missa Solemnis composer ?answer . ?answer mother Maria Magdalena van Beethoven}
what is the {point in time} for {Robert De Niro} has {residence} as {Marbletown} ?,6819,statement_property,3264,When did Robert De Niro reside in Marbletown?,SELECT ?value WHERE { wd:Q36949 p:P551 ?s . ?s ps:P551 wd:Q3708911 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q36949> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q3708911> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,When did Robert De Nirolive in Marbletown?,SELECT ?value WHERE { Robert De Niro p:P551 ?s . ?s ps:P551 Marbletown . ?s pq:P585 ?value}
Give me {organization} that contains the word {zollkriminalamt} in their name,23339,string matching simple contains word,2519,Tell me organization whose name has the word  zollkriminalamt  in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q43229 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q43229>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Let me know organization whose title has the word zollkriminalamt in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of organization . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is the {state} with the {MAX(inflation rate)} whose {member of} is {International Centre for Settlement of Investment Disputes}  ?,3127,rank,326,Which member state of the International Centre for Settlement of Investment Disputes has the maximum inflation rate?,select ?ent where { ?ent wdt:P31 wd:Q7275 . ?ent wdt:P1279 ?obj . ?ent wdt:P463 wd:Q899770 } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q7275>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1279>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P463> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q899770> .

}
ORDER BY DESC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value),Which country in the International Centre for Settlement of Investment Disputes has the highest inflation rate?,select ?ent where { ?ent instance of state . ?ent inflation rate ?obj . ?ent member of International Centre for Settlement of Investment Disputes } ORDER BY DESC(?obj)LIMIT 5 
Did {Brittany_Murphy} {country of citizenship} {United States of America}?,454,boolean one_hop right subgraph,454,Was Brittany Murphy a citizen of the USA?,ASK WHERE { wd:Q168847 wdt:P27 wd:Q30 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q168847> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P27> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q30>. } ,Ask (ent-pred-obj),Did Brittany Murphy have USA citizenship?,ASK WHERE { Brittany Murphy country of citizenship United States of America }
What is the {partner} and the {spouse} of {Hank_Azaria} ?,9839,two intentions right subgraph,179,Who is the partner and the spouse of Hank Azaria?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q202056 wdt:P451 ?ans_1 . wd:Q202056 wdt:P26 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q202056> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P451> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q202056> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Who is Hank Azaria married to ?,SELECT ?ans_1 ?ans_2 WHERE { Hank Azaria unmarried partner ?ans_1 . Hank Azaria spouse ?ans_2 }
Does the {maximum age} of the {St Peter's Junior School} {equals} {11},18487,boolean with filter,505,Does St. Peters Junior School maximum age equal to 11?,ASK WHERE { wd:Q60298462 wdt:P4135 ?obj filter(?obj = 11) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q60298462> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4135>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 11) },ASK ?sbj ?pred ?obj filter ?obj = num,Is 11 the maximum age of St. Peters Junior School?,ASK WHERE { St Peter's Junior School maximum age ?obj filter(?obj = 11) } 
What is the {country} with the {MAX(individual tax rate)} ?,2794,rank,370,Which country has highest individual tax rate?,select ?ent where { ?ent wdt:P31 wd:Q6256 . ?ent wdt:P2834 ?obj } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q6256>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2834>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .}
ORDER BY DESC(?obj)
LIMIT 5","?E is_a Type, ?E pred Obj  value. MAX/MIN (value)",What country has the highest taxes?,select ?ent where { ?ent instance of country . ?ent individual tax rate ?obj } ORDER BY DESC(?obj)LIMIT 5 
what is the {point in time} for {James Thomas Farrell} has {award received} as {St. Louis Literary Award} ?,7744,statement_property,4189,When did James Thomas Farrell receive the St. Louis Literary Award?,SELECT ?value WHERE { wd:Q1371154 p:P166 ?s . ?s ps:P166 wd:Q7589655 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1371154> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q7589655> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,What was the date that The St. Louis Literary Award was aquired by James Thomas Farrell.,SELECT ?value WHERE { James Thomas Farrell p:P166 ?s . ?s ps:P166 St. Louis Literary Award . ?s pq:P585 ?value}
what is the {end time} for {Pablo Picasso} has {partner} as {Fernande Olivier} ?,5715,statement_property,2160,When was Pablo Picasso's partnership with Fernade Oliver over?,SELECT ?value WHERE { wd:Q5593 p:P451 ?s . ?s ps:P451 wd:Q453775 . ?s pq:P582 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q5593> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P451> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q453775> .
?statement <http://www.wikidata.org/entity/P582> ?value. 
} 
",(E pred ?Obj ) prop value,On what date did Pablo Picasso end his partnership with Fernade Oliver?,SELECT ?value WHERE { Pablo Picasso p:P451 ?s . ?s ps:P451 Fernande Olivier . ?s pq:P582 ?value}
What is the {product} with the {MIN(consumption rate per capita)} whose {has part} is {paraffin wax}  ?,3261,rank,483,What is the product with the lowest consumption rate per capita whose has part is paraffin wax?,select ?ent where { ?ent wdt:P31 wd:Q2424752 . ?ent wdt:P2662 ?obj . ?ent wdt:P527 wd:Q177540. } ORDER BY ASC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q2424752>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2662>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P527> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q177540> .

}
ORDER BY ASC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value),What product that contains paraffin wax has the lowest usage per capita?,select ?ent where { ?ent instance of product . ?ent consumption rate per capita ?obj . ?ent has part(s) paraffin. } ORDER BY ASC(?obj)LIMIT 5 
What is {coordinates of geographic center} of {Michigan} that is {determination method} is {center of gravity of the surface} ?,7385,statement_property,3830,"What are the coordinates for the geographic center of Michigan, as determined by the center of gravity of the surface?",SELECT ?obj WHERE { wd:Q1166 p:P5140 ?s . ?s ps:P5140 ?obj . ?s pq:P459 wd:Q53329492 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5140> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P459> <http://wikidata.dbpedia.org/resource/Q53329492>
} 
",(E pred F) prop ?value,Where is the geographic center of Michigan using the gravity center of the surface?,SELECT ?obj WHERE { Michigan p:P5140 ?s . ?s ps:P5140 ?obj . ?s pq:P459 center of gravity of the surface }
